nome_oficial,nome_estadio,imagem,id_estadio,local,uf_estadio,capacidade
Estádio Municipal Jerônimo Ferreira Fraga,Arapucão,https://www.jatai.go.gov.br/wp-content/uploads/2022/02/hadshas.jpg,arapucao-go,Jataí - GO,GO,13.917
Estádio Dirceu de Castro,Dirceuzão,https://distritodoesporte.com/wp-content/uploads/abadiao.jpg,dirceuzao-go,Planaltina - GO,GO,1.500
Estádio Municipal Divino Garcia Rosa,Divinão,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4UGPrZV6ZPgY3UhYWYeYz960Vd5Y_8Azng53g7uaArUuh5o7w3LNG0grG&s=10,divinao-go,Goiás - GO,GO,6.000
Estádio Juscelino Kubitschek,Estádio JK,https://www.ogol.com.br/img/estadios/527/130527_med_juscelino_kubitschek.jpg,estadiojk-go,Itumbiara - GO,GO,15.000
Estádio Municipal Francisco José Ferreira,Ferreirão,https://s2-ge.glbimg.com/Tk3qbH6CSJk3Da0E8bQw_5P80VQ=/0x0:2048x1152/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_bc8228b6673f488aa253bbcb03c80ec5/internal_photos/bs/2021/6/E/4O62flRbq0xAvTNcUDzQ/ferreirao.jpg,ferreiraico-go,Iporá - GO,GO,6.520
Estádio Genervino da Fonseca,Genervino da Fonseca,https://upload.wikimedia.org/wikipedia/commons/0/0f/Estadio_Grnrtvino_da_Fonseca.jpg?utm_source=pt.wikipedia.org&utm_campaign=index&utm_content=original,genervinodafonseca-go,Catalão - GO,GO,8.500
Estádio Jonas Duarte,Jonas Duarte,https://www.anapolis.go.gov.br/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-15-at-17.44.44.jpeg,jonasduarte-go,Anápolis - GO,GO,10.707
Estádio Luiz Benedito,Luiz Benedito,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmkIuyPT8-mw9ekyuiTobFjZMmMO---D1GDyaLF2I4ecpkI20A-WVO2wY&s=10,luizbenedito-go,Ouvidor - GO,GO,1.000
Estádio Onésio Brasileiro Alvarenga,OBA,https://soutigrao.com/wp-content/uploads/2024/02/image-58-45.jpg,oba-go,Goiânia - GO,GO,11.788
Estádio Olímpico Pedro Ludovico Teixeira,Olímpico Pedro Ludovico,https://www.goinfra.go.gov.br/arquivos/est%C3%A1dio_olimpico_2.jpg,olimpicopedroludovico-go,Goiânia - GO,GO,13.500
